fileName;precision;recall
2813.csv;;0
4777.csv;;0
4276.csv;1.0;0.02
4657.csv;1.0;0.03
3808.csv;;0
1715.csv;1.0;0.01
1166.csv;;0
994.csv;;0
1746.csv;;0
1512.csv;1.0;0.01
3316.csv;1.0;0.02
2806.csv;1.0;0.01
3062.csv;;0
777.csv;;0
3219.csv;1.0;0.01
3263.csv;;0
2755.csv;;0
2729.csv;1.0;0.01
222.csv;1.0;0.02
1170.csv;;0
1821.csv;1.0;0.02
4275.csv;1.0;0.03
595.csv;;0
2150.csv;;0
3115.csv;1.0;0.03
1882.csv;1.0;0.01
4600.csv;1.0;0.02
4389.csv;1.0;0.02
1141.csv;1.0;0.03
2929.csv;1.0;0.01
388.csv;;0
4966.csv;;0
4098.csv;1.0;0.01
4185.csv;1.0;0.05
4597.csv;1.0;0.01
577.csv;;0
536.csv;;0
2426.csv;1.0;0.02
1173.csv;1.0;0.02
2237.csv;;0
1595.csv;;0
3297.csv;1.0;0.01
1822.csv;;0
1504.csv;;0
3574.csv;;0
4842.csv;1.0;0.01
609.csv;1.0;0.01
4187.csv;1.0;0.03
1734.csv;1.0;0.06
3153.csv;;0
3515.csv;1.0;0.02
3967.csv;1.0;0.02
124.csv;1.0;0.01
715.csv;1.0;0.03
552.csv;1.0;0.01
4251.csv;1.0;0.01
3787.csv;;0
2630.csv;;0
4441.csv;1.0;0.01
2254.csv;1.0;0.01
4869.csv;;0
3543.csv;1.0;0.01
2962.csv;1.0;0.04
3936.csv;1.0;0.01
1481.csv;;0
1432.csv;1.0;0.02
1436.csv;;0
3555.csv;1.0;0.02
1317.csv;1.0;0.04
673.csv;1.0;0.03
1264.csv;;0
1368.csv;1.0;0.04
4250.csv;1.0;0.02
1215.csv;1.0;0.01
2680.csv;1.0;0.01
4357.csv;;0
